Stock,Code,Total_Rec,Success_Count,Accuracy(%)
HD한국조선해양,009540,4,4,100.0
LG화학,051910,3,3,100.0
현대모비스,012330,3,3,100.0
BGF리테일,282330,2,2,100.0
KT,030200,2,2,100.0
LG,003550,2,2,100.0
LG유플러스,032640,2,2,100.0
롯데케미칼,011170,2,2,100.0
삼성전기,009150,2,2,100.0
에스원,012750,2,2,100.0
코웨이,021240,2,2,100.0
크래프톤,259960,2,2,100.0
현대제철,004020,2,2,100.0
NAVER,035420,1,1,100.0
SK하이닉스,000660,1,1,100.0
두산에너빌리티,034020,1,1,100.0
미래에셋증권,006800,1,1,100.0
삼성중공업,010140,1,1,100.0
삼성카드,029780,1,1,100.0
셀트리온,068270,1,1,100.0
유한양행,000100,1,1,100.0
카카오,035720,1,1,100.0
한미반도체,042700,1,1,100.0
한미약품,008930,1,1,100.0
한화오션,042660,1,1,100.0
현대글로비스,086280,1,1,100.0
기업은행,024110,4,3,75.0
삼성화재,000810,4,3,75.0
신한지주,055550,4,3,75.0
DL이앤씨,000210,3,2,66.67
KB금융,105560,3,2,66.67
SK텔레콤,017670,3,2,66.67
고려아연,010130,3,2,66.67
삼성생명,032830,3,2,66.67
아모레G,002790,3,2,66.67
팬오션,028670,3,2,66.67
포스코퓨처엠,003670,3,2,66.67
현대오토에버,307950,3,2,66.67
LG이노텍,011070,5,3,60.0
삼성물산,028260,5,3,60.0
카카오뱅크,323410,5,3,60.0
롯데지주,004990,4,2,50.0
GS,078930,2,1,50.0
LG전자,066570,2,1,50.0
SK,034730,2,1,50.0
기아,000270,2,1,50.0
엔씨소프트,036570,2,1,50.0
위메이드,112040,2,1,50.0
한국전력,015760,2,1,50.0
한국타이어앤테크놀로지,161390,2,1,50.0
한온시스템,018880,2,1,50.0
한화에어로스페이스,012450,2,1,50.0
우리금융지주,316140,5,2,40.0
오리온,271560,3,1,33.33
현대해상,001450,3,1,33.33
SK이노베이션,096770,2,0,0.0
삼성바이오로직스,207940,1,0,0.0
삼성엔지니어링,028050,1,0,0.0
에코프로비엠,247540,1,0,0.0
이마트,139480,1,0,0.0
포스코인터내셔널,047050,1,0,0.0
한국항공우주,047810,1,0,0.0
★전체 평균★,-,140,95,67.86
